id;link;type;days;hours;minutes;seconds;empty;idk;idk_1;due_date
1;Planner;website Maryland;61533;60197;31784;55220;Cambridgeshire primary Designer;program green redundant;modular;2023-03-19T08:09:31
2;Avon sky Mouse;SQL calculate markets;35119;62000;24580;18139;Buckinghamshire seize synergize;context-sensitive Account Cambridgeshire;withdrawal plum Global;2023-03-19T15:01:30
3;Small Shirt generate;Croatia logistical Future;83138;39382;71156;79654;COM;hack Knoll monitor;Assistant;2023-03-19T12:40:30
4;user Generic solid;invoice Communications Garden;50027;75071;76497;50072;Ville impactful grey;bypass Wisconsin;Car Zloty;2023-03-19T23:51:00
5;tan;auxiliary port bypassing;59876;2718;96598;68788;Incredible navigate;override yellow;Manager;2023-03-19T01:53:37
6;XSS;extensible;2298;16256;77786;89748;digital 24/7 SCSI;Table service-desk Enhanced;Credit Central Shirt;2023-03-19T15:30:59
7;Planner;Chips;75032;3849;14855;25934;Small card high-level;overriding Lead;Unbranded Turnpike Gorgeous;2023-03-19T15:47:41
8;Poland;Tasty experiences hacking;53963;22094;75539;376;Developer Route;parse Islands Team-oriented;Liaison;2023-03-19T12:26:20
9;Soft;Granite Towels;29899;60762;6947;69173;Soap Vermont;Virginia violet Paradigm;clear-thinking Cambridgeshire open;2023-03-19T11:02:00
10;synthesizing;Books program Legacy;12145;77091;93296;57905;auxiliary up;Movies Bulgaria;actuating;2023-03-19T10:56:11
