id;subject;subject_score;subject_target;upcoming_test;upcoming_test_target
1;sensor Liaison;75154;54542;port cross-platform Automotive;98980
2;matrices Indiana Solutions;33363;6166;up black;80888
3;Miquelon Auto transmitting;92990;5918;Personal alarm;31909
4;input Wooden Dynamic;22931;55650;parse emulation Hat;73712
5;Buckinghamshire;22743;7743;Dollar Rubber Circles;39687
6;teal solution-oriented;80891;87729;microchip cyan;80086
7;Rubber;97668;91990;Functionality;97038
8;Mississippi;83998;10433;Health back-end array;3872
9;Rustic;29326;26979;calculate Soft;12711
10;bluetooth Baby Future;39987;90451;Engineer PCI;49778
