id;heading;description;creation_time;last_edit_time;completed
1;content-based;Soft;2023-03-06T01:14:42;2023-03-06T06:00:32;false
2;Industrial;ADP generate;2023-03-06T02:11:43;2023-03-06T06:12:48;false
3;hack Saint Senior;capacitor Track;2023-03-06T11:27:17;2023-03-06T06:56:58;true
4;Well Skyway;Research repurpose;2023-03-06T12:35:19;2023-03-06T00:18:53;false
5;copy Rican;hacking;2023-03-06T07:50:10;2023-03-05T20:40:21;true
6;Nebraska payment;Arizona Centers;2023-03-06T06:44:41;2023-03-06T20:10:37;true
7;Coordinator COM Lek;partnerships;2023-03-06T08:09:01;2023-03-05T22:30:20;true
8;national;override Malawi withdrawal;2023-03-06T09:44:19;2023-03-06T16:21:48;true
9;navigate sensor;Avon;2023-03-05T22:36:09;2023-03-06T18:31:35;true
10;Frozen;green Buckinghamshire;2023-03-06T00:09:32;2023-03-06T04:53:10;false
